,Datum,Description,Day
0,2019-01-01 18:00:00,Neujahr,Dienstag
0,2019-01-01 19:00:00,Neujahr,Dienstag
0,2019-01-01 20:00:00,Neujahr,Dienstag
0,2019-01-01 21:00:00,Neujahr,Dienstag
0,2019-01-01 22:00:00,Neujahr,Dienstag
0,2019-01-01 23:00:00,Neujahr,Dienstag
0,2019-01-05 00:00:00,Maifeiertag,Mittwoch
0,2019-01-05 01:00:00,Maifeiertag,Mittwoch
0,2019-01-05 02:00:00,Maifeiertag,Mittwoch
0,2019-01-05 03:00:00,Maifeiertag,Mittwoch
0,2019-01-05 04:00:00,Maifeiertag,Mittwoch
0,2019-01-05 05:00:00,Maifeiertag,Mittwoch
0,2019-01-05 06:00:00,Maifeiertag,Mittwoch
0,2019-01-05 07:00:00,Maifeiertag,Mittwoch
0,2019-01-05 08:00:00,Maifeiertag,Mittwoch
0,2019-01-05 09:00:00,Maifeiertag,Mittwoch
0,2019-01-05 10:00:00,Maifeiertag,Mittwoch
0,2019-01-05 11:00:00,Maifeiertag,Mittwoch
0,2019-01-05 12:00:00,Maifeiertag,Mittwoch
0,2019-01-05 13:00:00,Maifeiertag,Mittwoch
0,2019-01-05 14:00:00,Maifeiertag,Mittwoch
0,2019-01-05 15:00:00,Maifeiertag,Mittwoch
0,2019-01-05 16:00:00,Maifeiertag,Mittwoch
0,2019-01-05 17:00:00,Maifeiertag,Mittwoch
0,2019-01-05 18:00:00,Maifeiertag,Mittwoch
0,2019-01-05 19:00:00,Maifeiertag,Mittwoch
0,2019-01-05 20:00:00,Maifeiertag,Mittwoch
0,2019-01-05 21:00:00,Maifeiertag,Mittwoch
0,2019-01-05 22:00:00,Maifeiertag,Mittwoch
0,2019-01-05 23:00:00,Maifeiertag,Mittwoch
0,2019-01-11 00:00:00,Allerheiligen,Freitag
0,2019-01-11 01:00:00,Allerheiligen,Freitag
0,2019-01-11 02:00:00,Allerheiligen,Freitag
0,2019-01-11 03:00:00,Allerheiligen,Freitag
0,2019-01-11 04:00:00,Allerheiligen,Freitag
0,2019-01-11 05:00:00,Allerheiligen,Freitag
0,2019-01-11 06:00:00,Allerheiligen,Freitag
0,2019-01-11 07:00:00,Allerheiligen,Freitag
0,2019-01-11 08:00:00,Allerheiligen,Freitag
0,2019-01-11 09:00:00,Allerheiligen,Freitag
0,2019-01-11 10:00:00,Allerheiligen,Freitag
0,2019-01-11 11:00:00,Allerheiligen,Freitag
0,2019-01-11 12:00:00,Allerheiligen,Freitag
0,2019-01-11 13:00:00,Allerheiligen,Freitag
0,2019-01-11 14:00:00,Allerheiligen,Freitag
0,2019-01-11 15:00:00,Allerheiligen,Freitag
0,2019-01-11 16:00:00,Allerheiligen,Freitag
0,2019-01-11 17:00:00,Allerheiligen,Freitag
0,2019-01-11 18:00:00,Allerheiligen,Freitag
0,2019-01-11 19:00:00,Allerheiligen,Freitag
0,2019-01-11 20:00:00,Allerheiligen,Freitag
0,2019-01-11 21:00:00,Allerheiligen,Freitag
0,2019-01-11 22:00:00,Allerheiligen,Freitag
0,2019-01-11 23:00:00,Allerheiligen,Freitag
0,2019-03-10 00:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 01:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 02:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 03:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 04:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 05:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 06:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 07:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 08:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 09:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 10:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 11:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 12:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 13:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 14:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 15:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 16:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 17:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 18:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 19:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 20:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 21:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 22:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-03-10 23:00:00,Tag der Deutschen Einheit,Donnerstag
0,2019-04-19 00:00:00,Karfreitag,Freitag
0,2019-04-19 01:00:00,Karfreitag,Freitag
0,2019-04-19 02:00:00,Karfreitag,Freitag
0,2019-04-19 03:00:00,Karfreitag,Freitag
0,2019-04-19 04:00:00,Karfreitag,Freitag
0,2019-04-19 05:00:00,Karfreitag,Freitag
0,2019-04-19 06:00:00,Karfreitag,Freitag
0,2019-04-19 07:00:00,Karfreitag,Freitag
0,2019-04-19 08:00:00,Karfreitag,Freitag
0,2019-04-19 09:00:00,Karfreitag,Freitag
0,2019-04-19 10:00:00,Karfreitag,Freitag
0,2019-04-19 11:00:00,Karfreitag,Freitag
0,2019-04-19 12:00:00,Karfreitag,Freitag
0,2019-04-19 13:00:00,Karfreitag,Freitag
0,2019-04-19 14:00:00,Karfreitag,Freitag
0,2019-04-19 15:00:00,Karfreitag,Freitag
0,2019-04-19 16:00:00,Karfreitag,Freitag
0,2019-04-19 17:00:00,Karfreitag,Freitag
0,2019-04-19 18:00:00,Karfreitag,Freitag
0,2019-04-19 19:00:00,Karfreitag,Freitag
0,2019-04-19 20:00:00,Karfreitag,Freitag
0,2019-04-19 21:00:00,Karfreitag,Freitag
0,2019-04-19 22:00:00,Karfreitag,Freitag
0,2019-04-19 23:00:00,Karfreitag,Freitag
0,2019-04-22 00:00:00,Ostermontag,Montag
0,2019-04-22 01:00:00,Ostermontag,Montag
0,2019-04-22 02:00:00,Ostermontag,Montag
0,2019-04-22 03:00:00,Ostermontag,Montag
0,2019-04-22 04:00:00,Ostermontag,Montag
0,2019-04-22 05:00:00,Ostermontag,Montag
0,2019-04-22 06:00:00,Ostermontag,Montag
0,2019-04-22 07:00:00,Ostermontag,Montag
0,2019-04-22 08:00:00,Ostermontag,Montag
0,2019-04-22 09:00:00,Ostermontag,Montag
0,2019-04-22 10:00:00,Ostermontag,Montag
0,2019-04-22 11:00:00,Ostermontag,Montag
0,2019-04-22 12:00:00,Ostermontag,Montag
0,2019-04-22 13:00:00,Ostermontag,Montag
0,2019-04-22 14:00:00,Ostermontag,Montag
0,2019-04-22 15:00:00,Ostermontag,Montag
0,2019-04-22 16:00:00,Ostermontag,Montag
0,2019-04-22 17:00:00,Ostermontag,Montag
0,2019-04-22 18:00:00,Ostermontag,Montag
0,2019-04-22 19:00:00,Ostermontag,Montag
0,2019-04-22 20:00:00,Ostermontag,Montag
0,2019-04-22 21:00:00,Ostermontag,Montag
0,2019-04-22 22:00:00,Ostermontag,Montag
0,2019-04-22 23:00:00,Ostermontag,Montag
0,2019-05-30 00:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 01:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 02:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 03:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 04:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 05:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 06:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 07:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 08:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 09:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 10:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 11:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 12:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 13:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 14:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 15:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 16:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 17:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 18:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 19:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 20:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 21:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 22:00:00,Christi Himmelfahrt,Donnerstag
0,2019-05-30 23:00:00,Christi Himmelfahrt,Donnerstag
0,2019-06-01 00:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 01:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 02:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 03:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 04:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 05:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 06:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 07:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 08:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 09:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 10:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 11:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 12:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 13:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 14:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 15:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 16:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 17:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 18:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 19:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 20:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 21:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 22:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-01 23:00:00,Heilige Drei Koenige,Sonntag
0,2019-06-20 00:00:00,Fronleichnam,Donnerstag
0,2019-06-20 01:00:00,Fronleichnam,Donnerstag
0,2019-06-20 02:00:00,Fronleichnam,Donnerstag
0,2019-06-20 03:00:00,Fronleichnam,Donnerstag
0,2019-06-20 04:00:00,Fronleichnam,Donnerstag
0,2019-06-20 05:00:00,Fronleichnam,Donnerstag
0,2019-06-20 06:00:00,Fronleichnam,Donnerstag
0,2019-06-20 07:00:00,Fronleichnam,Donnerstag
0,2019-06-20 08:00:00,Fronleichnam,Donnerstag
0,2019-06-20 09:00:00,Fronleichnam,Donnerstag
0,2019-06-20 10:00:00,Fronleichnam,Donnerstag
0,2019-06-20 11:00:00,Fronleichnam,Donnerstag
0,2019-06-20 12:00:00,Fronleichnam,Donnerstag
0,2019-06-20 13:00:00,Fronleichnam,Donnerstag
0,2019-06-20 14:00:00,Fronleichnam,Donnerstag
0,2019-06-20 15:00:00,Fronleichnam,Donnerstag
0,2019-06-20 16:00:00,Fronleichnam,Donnerstag
0,2019-06-20 17:00:00,Fronleichnam,Donnerstag
0,2019-06-20 18:00:00,Fronleichnam,Donnerstag
0,2019-06-20 19:00:00,Fronleichnam,Donnerstag
0,2019-06-20 20:00:00,Fronleichnam,Donnerstag
0,2019-06-20 21:00:00,Fronleichnam,Donnerstag
0,2019-06-20 22:00:00,Fronleichnam,Donnerstag
0,2019-06-20 23:00:00,Fronleichnam,Donnerstag
0,2019-10-06 00:00:00,Pfingstmontag,Montag
0,2019-10-06 01:00:00,Pfingstmontag,Montag
0,2019-10-06 02:00:00,Pfingstmontag,Montag
0,2019-10-06 03:00:00,Pfingstmontag,Montag
0,2019-10-06 04:00:00,Pfingstmontag,Montag
0,2019-10-06 05:00:00,Pfingstmontag,Montag
0,2019-10-06 06:00:00,Pfingstmontag,Montag
0,2019-10-06 07:00:00,Pfingstmontag,Montag
0,2019-10-06 08:00:00,Pfingstmontag,Montag
0,2019-10-06 09:00:00,Pfingstmontag,Montag
0,2019-10-06 10:00:00,Pfingstmontag,Montag
0,2019-10-06 11:00:00,Pfingstmontag,Montag
0,2019-10-06 12:00:00,Pfingstmontag,Montag
0,2019-10-06 13:00:00,Pfingstmontag,Montag
0,2019-10-06 14:00:00,Pfingstmontag,Montag
0,2019-10-06 15:00:00,Pfingstmontag,Montag
0,2019-10-06 16:00:00,Pfingstmontag,Montag
0,2019-10-06 17:00:00,Pfingstmontag,Montag
0,2019-10-06 18:00:00,Pfingstmontag,Montag
0,2019-10-06 19:00:00,Pfingstmontag,Montag
0,2019-10-06 20:00:00,Pfingstmontag,Montag
0,2019-10-06 21:00:00,Pfingstmontag,Montag
0,2019-10-06 22:00:00,Pfingstmontag,Montag
0,2019-10-06 23:00:00,Pfingstmontag,Montag
0,2019-12-25 00:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 01:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 02:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 03:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 04:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 05:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 06:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 07:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 08:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 09:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 10:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 11:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 12:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 13:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 14:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 15:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 16:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 17:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 18:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 19:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 20:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 21:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 22:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-25 23:00:00,1. Weihnachtstag,Mittwoch
0,2019-12-26 00:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 01:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 02:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 03:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 04:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 05:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 06:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 07:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 08:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 09:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 10:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 11:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 12:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 13:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 14:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 15:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 16:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 17:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 18:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 19:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 20:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 21:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 22:00:00,2. Weihnachtstag,Donnerstag
0,2019-12-26 23:00:00,2. Weihnachtstag,Donnerstag
0,2020-01-01 00:00:00,Neujahr,Mittwoch
0,2020-01-01 01:00:00,Neujahr,Mittwoch
0,2020-01-01 02:00:00,Neujahr,Mittwoch
0,2020-01-01 03:00:00,Neujahr,Mittwoch
0,2020-01-01 04:00:00,Neujahr,Mittwoch
0,2020-01-01 05:00:00,Neujahr,Mittwoch
0,2020-01-01 06:00:00,Neujahr,Mittwoch
0,2020-01-01 07:00:00,Neujahr,Mittwoch
0,2020-01-01 08:00:00,Neujahr,Mittwoch
0,2020-01-01 09:00:00,Neujahr,Mittwoch
0,2020-01-01 10:00:00,Neujahr,Mittwoch
0,2020-01-01 11:00:00,Neujahr,Mittwoch
0,2020-01-01 12:00:00,Neujahr,Mittwoch
0,2020-01-01 13:00:00,Neujahr,Mittwoch
0,2020-01-01 14:00:00,Neujahr,Mittwoch
0,2020-01-01 15:00:00,Neujahr,Mittwoch
0,2020-01-01 16:00:00,Neujahr,Mittwoch
0,2020-01-01 17:00:00,Neujahr,Mittwoch
0,2020-01-01 18:00:00,Neujahr,Mittwoch
0,2020-01-01 19:00:00,Neujahr,Mittwoch
0,2020-01-01 20:00:00,Neujahr,Mittwoch
0,2020-01-01 21:00:00,Neujahr,Mittwoch
0,2020-01-01 22:00:00,Neujahr,Mittwoch
0,2020-01-01 23:00:00,Neujahr,Mittwoch
0,2020-01-05 00:00:00,Tag der Arbeit,Freitag
0,2020-01-05 01:00:00,Tag der Arbeit,Freitag
0,2020-01-05 02:00:00,Tag der Arbeit,Freitag
0,2020-01-05 03:00:00,Tag der Arbeit,Freitag
0,2020-01-05 04:00:00,Tag der Arbeit,Freitag
0,2020-01-05 05:00:00,Tag der Arbeit,Freitag
0,2020-01-05 06:00:00,Tag der Arbeit,Freitag
0,2020-01-05 07:00:00,Tag der Arbeit,Freitag
