,Datum,Description,Day
0,2020-01-05 08:00:00,Tag der Arbeit,Freitag
0,2020-01-05 09:00:00,Tag der Arbeit,Freitag
0,2020-01-05 10:00:00,Tag der Arbeit,Freitag
0,2020-01-05 11:00:00,Tag der Arbeit,Freitag
0,2020-01-05 12:00:00,Tag der Arbeit,Freitag
0,2020-01-05 13:00:00,Tag der Arbeit,Freitag
0,2020-01-05 14:00:00,Tag der Arbeit,Freitag
0,2020-01-05 15:00:00,Tag der Arbeit,Freitag
0,2020-01-05 16:00:00,Tag der Arbeit,Freitag
0,2020-01-05 17:00:00,Tag der Arbeit,Freitag
0,2020-01-05 18:00:00,Tag der Arbeit,Freitag
0,2020-01-05 19:00:00,Tag der Arbeit,Freitag
0,2020-01-05 20:00:00,Tag der Arbeit,Freitag
0,2020-01-05 21:00:00,Tag der Arbeit,Freitag
0,2020-01-05 22:00:00,Tag der Arbeit,Freitag
0,2020-01-05 23:00:00,Tag der Arbeit,Freitag
0,2020-01-06 00:00:00,Pfingstmontag,Montag
0,2020-01-06 01:00:00,Pfingstmontag,Montag
0,2020-01-06 02:00:00,Pfingstmontag,Montag
0,2020-01-06 03:00:00,Pfingstmontag,Montag
0,2020-01-06 04:00:00,Pfingstmontag,Montag
0,2020-01-06 05:00:00,Pfingstmontag,Montag
0,2020-01-06 06:00:00,Pfingstmontag,Montag
0,2020-01-06 07:00:00,Pfingstmontag,Montag
0,2020-01-06 08:00:00,Pfingstmontag,Montag
0,2020-01-06 09:00:00,Pfingstmontag,Montag
0,2020-01-06 10:00:00,Pfingstmontag,Montag
0,2020-01-06 11:00:00,Pfingstmontag,Montag
0,2020-01-06 12:00:00,Pfingstmontag,Montag
0,2020-01-06 13:00:00,Pfingstmontag,Montag
0,2020-01-06 14:00:00,Pfingstmontag,Montag
0,2020-01-06 15:00:00,Pfingstmontag,Montag
0,2020-01-06 16:00:00,Pfingstmontag,Montag
0,2020-01-06 17:00:00,Pfingstmontag,Montag
0,2020-01-06 18:00:00,Pfingstmontag,Montag
0,2020-01-06 19:00:00,Pfingstmontag,Montag
0,2020-01-06 20:00:00,Pfingstmontag,Montag
0,2020-01-06 21:00:00,Pfingstmontag,Montag
0,2020-01-06 22:00:00,Pfingstmontag,Montag
0,2020-01-06 23:00:00,Pfingstmontag,Montag
0,2020-01-11 00:00:00,Allerheiligen,Sonntag
0,2020-01-11 01:00:00,Allerheiligen,Sonntag
0,2020-01-11 02:00:00,Allerheiligen,Sonntag
0,2020-01-11 03:00:00,Allerheiligen,Sonntag
0,2020-01-11 04:00:00,Allerheiligen,Sonntag
0,2020-01-11 05:00:00,Allerheiligen,Sonntag
0,2020-01-11 06:00:00,Allerheiligen,Sonntag
0,2020-01-11 07:00:00,Allerheiligen,Sonntag
0,2020-01-11 08:00:00,Allerheiligen,Sonntag
0,2020-01-11 09:00:00,Allerheiligen,Sonntag
0,2020-01-11 10:00:00,Allerheiligen,Sonntag
0,2020-01-11 11:00:00,Allerheiligen,Sonntag
0,2020-01-11 12:00:00,Allerheiligen,Sonntag
0,2020-01-11 13:00:00,Allerheiligen,Sonntag
0,2020-01-11 14:00:00,Allerheiligen,Sonntag
0,2020-01-11 15:00:00,Allerheiligen,Sonntag
0,2020-01-11 16:00:00,Allerheiligen,Sonntag
0,2020-01-11 17:00:00,Allerheiligen,Sonntag
0,2020-01-11 18:00:00,Allerheiligen,Sonntag
0,2020-01-11 19:00:00,Allerheiligen,Sonntag
0,2020-01-11 20:00:00,Allerheiligen,Sonntag
0,2020-01-11 21:00:00,Allerheiligen,Sonntag
0,2020-01-11 22:00:00,Allerheiligen,Sonntag
0,2020-01-11 23:00:00,Allerheiligen,Sonntag
0,2020-02-14 00:00:00,Valentinstag,Freitag
0,2020-02-14 01:00:00,Valentinstag,Freitag
0,2020-02-14 02:00:00,Valentinstag,Freitag
0,2020-02-14 03:00:00,Valentinstag,Freitag
0,2020-02-14 04:00:00,Valentinstag,Freitag
0,2020-02-14 05:00:00,Valentinstag,Freitag
0,2020-02-14 06:00:00,Valentinstag,Freitag
0,2020-02-14 07:00:00,Valentinstag,Freitag
0,2020-02-14 08:00:00,Valentinstag,Freitag
0,2020-02-14 09:00:00,Valentinstag,Freitag
0,2020-02-14 10:00:00,Valentinstag,Freitag
