timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1564165800,Jul 26 2019 - 6:30pm,complete,52021,Stuttgart,Hannover 96,Felix Brych,1,0.00,0.00,2.24,1.29,2,1,3,3,2,1,"29,36","39",4,3,5,1,2,1,1,5,2,1,13,6,8,3,5,3,14,15,64,36,1.73,0.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,4.00,5.00,1.21,1.68,2.51,4.10,1.61,2.20,Mercedes-Benz-Arena (Stuttgart)
1564225200,Jul 27 2019 - 11:00am,complete,29753,Dynamo Dresden,Nürnberg,Felix Zwayer,1,0.00,0.00,1.12,1.24,0,1,1,0,0,0,"","53",12,1,2,0,2,0,1,1,1,1,15,6,4,3,11,3,16,9,63,37,1.69,0.79,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,3.25,2.60,1.30,1.95,3.04,5.25,1.70,2.10,Rudolf-Harbig-Stadion (Dresden)
1564234200,Jul 27 2019 - 1:30pm,complete,10103,Holstein Kiel,Sandhausen,Tobias Stieler,1,0.00,0.00,1.24,1.18,1,1,2,1,0,1,"52","4",5,7,0,0,4,0,0,0,0,4,19,10,4,4,15,6,4,22,69,31,1.97,1.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.90,3.60,3.75,1.20,1.67,2.45,4.00,1.57,2.40,Holstein-Stadion (Kiel)
1564234200,Jul 27 2019 - 1:30pm,complete,12909,Osnabrück,Heidenheim,Sascha Stegemann,1,0.00,0.00,1.29,1.06,1,3,4,0,0,0,"58","74,89,90'4",6,6,1,1,1,0,0,2,1,0,7,11,3,7,4,4,13,14,42,58,0.98,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.25,2.90,1.28,1.89,2.90,4.95,1.61,2.25,Bremer Brücke (Osnabrück)
1564313400,Jul 28 2019 - 11:30am,complete,44475,Hamburger SV,Darmstadt 98,Robert Hartmann,1,0.00,0.00,2.00,1.29,1,1,2,0,0,0,"90'8","46",7,2,2,0,4,0,0,2,1,3,17,10,8,5,9,5,11,16,66,34,2.25,1.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,3.75,6.00,1.25,1.83,3.00,5.80,1.83,1.95,Volksparkstadion (Hamburg)
1564320600,Jul 28 2019 - 1:30pm,complete,10268,Jahn Regensburg,Bochum,Robert Schröder,1,0.00,0.00,1.65,1.18,3,1,4,1,1,0,"42,50,90'5","75",5,3,2,0,2,0,0,2,0,2,18,8,7,5,11,3,15,10,38,62,2.00,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.40,3.20,1.20,1.61,2.55,4.60,1.53,2.45,Arena Regensburg (Regensburg)
1564320600,Jul 28 2019 - 1:30pm,complete,9970,Greuther Fürth,Erzgebirge Aue,Daniel Siebert,1,0.00,0.00,1.41,0.65,0,2,2,1,0,1,"","25,90",9,2,1,0,4,0,0,1,0,4,18,11,8,8,10,3,11,17,62,38,2.16,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.30,3.20,1.36,2.15,3.90,8.00,1.87,1.91,Sportpark Ronhof Thomas Sommer (Fürth)
1564320600,Jul 28 2019 - 1:30pm,complete,6871,Wehen Wiesbaden,Karlsruher SC,Christian Dingert,1,0.00,0.00,0.94,0.88,1,2,3,1,0,1,"90'3","15,61",5,4,2,0,2,0,1,1,1,1,12,10,5,5,7,5,12,17,54,46,1.50,1.25,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.25,2.90,1.25,1.75,2.87,5.50,1.61,2.30,BRITA-Arena (Wiesbaden)
1564425000,Jul 29 2019 - 6:30pm,complete,23857,Arminia Bielefeld,St. Pauli,Bastian Dankert,1,0.00,0.00,2.00,0.53,1,1,2,1,0,1,"90","32",8,0,2,0,2,0,0,2,0,2,12,5,6,4,6,1,9,15,66,34,1.68,0.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.60,3.60,1.23,1.75,2.60,4.30,1.60,2.30,SchücoArena (Bielefeld)
1564763400,Aug 02 2019 - 4:30pm,complete,21708,Bochum,Arminia Bielefeld,Martin Petersen,2,0.00,0.00,1.53,2.00,3,3,6,0,0,0,"74,79,85","53,55,90'1",4,5,3,0,2,0,0,3,0,2,17,10,9,7,8,3,7,16,52,48,2.10,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.77,3.48,2.43,1.22,1.65,2.65,4.62,1.54,2.45,Vonovia Ruhrstadion (Bochum)
