Datum;Erster;Hoch;Tief;Schlusskurs
2020-11-06;0,8457;0,8477;0,8411;0,8421
2020-11-05;0,8529;0,8539;0,8435;0,8458
2020-11-04;0,8528;0,8616;0,8498;0,8531
2020-11-03;0,8591;0,8593;0,8519;0,8528
2020-11-02;0,859;0,8604;0,858;0,8591
2020-10-30;0,857;0,8591;0,8545;0,8586
2020-10-29;0,8512;0,8583;0,8505;0,8569
2020-10-28;0,849;0,8534;0,8484;0,8512
2020-10-27;0,8469;0,8496;0,8448;0,8489
2020-10-26;0,8446;0,8472;0,8441;0,8468
2020-10-23;0,8459;0,8484;0,8428;0,8432
2020-10-22;0,8429;0,8465;0,8427;0,846
2020-10-21;0,8458;0,8458;0,8418;0,8431
2020-10-20;0,8497;0,8502;0,8446;0,8457
2020-10-19;0,853;0,8544;0,8479;0,8498
2020-10-16;0,854;0,8551;0,8515;0,8535
2020-10-15;0,8511;0,8555;0,8505;0,854
2020-10-14;0,8514;0,8532;0,8497;0,8512
2020-10-13;0,8465;0,8524;0,8464;0,8514
2020-10-12;0,8466;0,8484;0,8455;0,8465
2020-10-09;0,8501;0,8504;0,8453;0,8453
2020-10-08;0,8498;0,8522;0,849;0,8504
2020-10-07;0,8522;0,8529;0,8488;0,85
2020-10-06;0,8485;0,8524;0,8471;0,8523
2020-10-05;0,8528;0,8531;0,8477;0,8488
2020-10-02;0,8513;0,8548;0,8512;0,8535
2020-10-01;0,853;0,8534;0,8498;0,8513
2020-09-30;0,8516;0,8557;0,8508;0,853
2020-09-29;0,8572;0,8574;0,8514;0,8518
2020-09-28;0,8607;0,8607;0,8562;0,8573
2020-09-25;0,8569;0,8611;0,8558;0,8598
2020-09-24;0,8575;0,86;0,8557;0,8568
2020-09-23;0,8542;0,8582;0,8534;0,8576
2020-09-22;0,8498;0,8552;0,8495;0,8542
2020-09-21;0,8432;0,8524;0,8424;0,8495
2020-09-18;0,8441;0,8453;0,8425;0,8446
2020-09-17;0,8462;0,8517;0,8437;0,8442
2020-09-16;0,844;0,8481;0,8417;0,8464
2020-09-15;0,8428;0,8446;0,8404;0,844
2020-09-14;0,845;0,845;0,8412;0,8427
2020-09-11;0,846;0,846;0,8423;0,8442
2020-09-10;0,8472;0,8473;0,8393;0,846
2020-09-09;0,8493;0,8508;0,8453;0,8472
2020-09-08;0,8463;0,8498;0,8456;0,8494
2020-09-07;0,8449;0,8466;0,844;0,8464
2020-09-04;0,8438;0,8488;0,843;0,8447
2020-09-03;0,8436;0,8481;0,8429;0,8438
2020-09-02;0,8393;0,8458;0,8384;0,8436
2020-09-01;0,8376;0,8402;0,8329;0,8392
2020-08-31;0,8398;0,8414;0,8359;0,8376
2020-08-28;0,8459;0,8466;0,839;0,84
2020-08-27;0,8451;0,8499;0,8408;0,846
2020-08-26;0,8449;0,8494;0,8447;0,8452
2020-08-25;0,8482;0,8486;0,8446;0,845
2020-08-24;0,8477;0,8485;0,844;0,8481
2020-08-21;0,843;0,8507;0,8415;0,8477
2020-08-20;0,8445;0,8472;0,8426;0,843
2020-08-19;0,838;0,8452;0,8367;0,8445
2020-08-18;0,8423;0,8425;0,8357;0,8381
2020-08-17;0,8441;0,8452;0,8417;0,8422
2020-08-14;0,8463;0,8486;0,8439;0,8444
2020-08-13;0,8485;0,8486;0,843;0,8464
2020-08-12;0,8517;0,8539;0,8466;0,8486
2020-08-11;0,8517;0,853;0,8472;0,8516
2020-08-10;0,8478;0,8521;0,8475;0,8519
2020-08-07;0,8418;0,8506;0,8416;0,8485
2020-08-06;0,8428;0,8461;0,8395;0,8419
2020-08-05;0,8476;0,8479;0,8401;0,8427
2020-08-04;0,85;0,853;0,8472;0,8477
2020-08-03;0,8508;0,8547;0,8485;0,8502
2020-07-31;0,8444;0,8496;0,8399;0,849
2020-07-30;0,848;0,8523;0,844;0,8445
2020-07-29;0,8531;0,8536;0,8472;0,8481
2020-07-28;0,851;0,8547;0,8494;0,8531
2020-07-27;0,8555;0,856;0,849;0,8511
2020-07-24;0,8622;0,8634;0,8579;0,8579
2020-07-23;0,8639;0,8663;0,8603;0,8624
2020-07-22;0,8671;0,8689;0,8621;0,8642
2020-07-21;0,8738;0,8752;0,8666;0,8671
2020-07-20;0,8755;0,8768;0,8722;0,8739
2020-07-17;0,8786;0,8789;0,8739;0,8751
2020-07-16;0,8763;0,8794;0,874;0,8785
2020-07-15;0,877;0,8778;0,8733;0,8763
2020-07-14;0,8813;0,883;0,8765;0,877
2020-07-13;0,8838;0,8848;0,8792;0,8813
2020-07-10;0,8862;0,8885;0,883;0,885
2020-07-09;0,8824;0,8865;0,8795;0,8862
2020-07-08;0,887;0,8878;0,8811;0,8824
2020-07-07;0,8842;0,8881;0,8825;0,8869
2020-07-06;0,8878;0,888;0,8815;0,8841
2020-07-03;0,8898;0,8912;0,8888;0,8892
2020-07-02;0,8887;0,8909;0,8848;0,8898
2020-07-01;0,8902;0,8938;0,887;0,8888
2020-06-30;0,8896;0,8934;0,888;0,8903
2020-06-29;0,8905;0,8913;0,8859;0,8896
2020-06-26;0,8915;0,8931;0,8897;0,8914
2020-06-25;0,8886;0,8936;0,8881;0,8915
2020-06-24;0,8843;0,889;0,8829;0,8886
2020-06-23;0,8879;0,8901;0,8812;0,8841
2020-06-22;0,8943;0,8943;0,8876;0,8879
2020-06-19;0,8924;0,8951;0,8887;0,8947
2020-06-18;0,8894;0,894;0,888;0,8926
2020-06-17;0,8879;0,8921;0,8855;0,8893
2020-06-16;0,8833;0,8905;0,881;0,8881
2020-06-15;0,8892;0,8906;0,8826;0,883
2020-06-12;0,8854;0,8918;0,8819;0,8883
2020-06-11;0,8789;0,8858;0,8772;0,8855
2020-06-10;0,8822;0,8825;0,8758;0,8791
2020-06-09;0,8855;0,8895;0,88;0,8819
2020-06-08;0,8851;0,8873;0,8836;0,8856
2020-06-05;0,8821;0,8866;0,8785;0,8856
2020-06-04;0,89;0,8932;0,8802;0,8821
2020-06-03;0,8954;0,8955;0,8887;0,8899
2020-06-02;0,8982;0,8996;0,8932;0,8952
2020-06-01;0,8992;0,9009;0,8966;0,8984
2020-05-29;0,9025;0,9033;0,8973;0,9005
2020-05-28;0,9083;0,9097;0,9015;0,9028
2020-05-27;0,9107;0,9145;0,9067;0,9082
2020-05-26;0,9179;0,9181;0,9094;0,9108
2020-05-25;0,9173;0,9198;0,9163;0,9179
2020-05-22;0,9134;0,9186;0,913;0,9173
2020-05-21;0,9107;0,9141;0,9084;0,9135
2020-05-20;0,9157;0,9158;0,9092;0,9109
2020-05-19;0,9162;0,9172;0,9111;0,9156
2020-05-18;0,9245;0,9259;0,9153;0,916
2020-05-15;0,9254;0,9267;0,9218;0,9242
2020-05-14;0,9242;0,9278;0,9239;0,9254
2020-05-13;0,9218;0,9249;0,918;0,9245
2020-05-12;0,9251;0,9272;0,9191;0,922
2020-05-11;0,922;0,9258;0,9217;0,9254
2020-05-08;0,9232;0,9245;0,9198;0,9226
2020-05-07;0,9263;0,9288;0,923;0,9234
2020-05-06;0,9224;0,9273;0,9222;0,9264
2020-05-05;0,9173;0,9236;0,9157;0,9223
2020-05-04;0,9134;0,9178;0,9128;0,9172
2020-05-01;0,9131;0,9145;0,9078;0,9106
2020-04-30;0,9196;0,9229;0,9117;0,9132
2020-04-29;0,924;0,9242;0,9187;0,9196
2020-04-28;0,9233;0,9251;0,9185;0,924
2020-04-27;0,9242;0,9245;0,9208;0,9232
2020-04-24;0,9279;0,9321;0,9235;0,9238
2020-04-23;0,9239;0,9297;0,9223;0,9277
2020-04-22;0,921;0,9255;0,9188;0,9239
2020-04-21;0,9205;0,9243;0,9192;0,9208
2020-04-20;0,9207;0,9223;0,9179;0,92
2020-04-17;0,921;0,9249;0,9182;0,9197
2020-04-16;0,9167;0,9243;0,9165;0,921
2020-04-15;0,9105;0,921;0,91;0,9167
2020-04-14;0,9166;0,9166;0,9099;0,9101
2020-04-13;0,9149;0,918;0,9118;0,9164
2020-04-10;0,9151;0,9157;0,9131;0,9146
2020-04-09;0,9211;0,9224;0,9133;0,9151
2020-04-08;0,9181;0,9233;0,9173;0,9211
2020-04-07;0,9264;0,9272;0,9155;0,9182
2020-04-06;0,9246;0,9285;0,923;0,9264
2020-04-03;0,9211;0,928;0,9209;0,9251
2020-04-02;0,9128;0,9241;0,9121;0,9211
2020-04-01;0,9061;0,9171;0,906;0,9135
2020-03-31;0,9053;0,9151;0,9049;0,9063
