timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1532710800,Jul 27 2018 - 5:00pm,complete,20000,Eintracht Braunschweig,Karlsruher SC,N/A,1,0.00,0.00,1.11,1.95,1,1,2,1,0,1,"56","24",5,5,1,0,2,0,1,0,1,1,9,11,4,9,5,2,10,14,52,48,1.03,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.23,3.24,3.58,1.42,2.25,4.30,0.00,2.05,1.77,Eintracht-Stadion
1532779200,Jul 28 2018 - 12:00pm,complete,3121,Aalen,Wehen Wiesbaden,N/A,1,0.00,0.00,0.79,1.84,1,2,3,0,0,0,"61","73,83",2,4,4,0,1,0,1,3,1,0,7,11,2,4,5,7,13,10,55,45,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.73,3.19,2.80,1.31,1.95,3.45,0.00,1.87,1.95,Scholz Arena
1532779200,Jul 28 2018 - 12:00pm,complete,7649,Osnabrück,Würzburger Kickers,N/A,1,0.00,0.00,2.26,1.37,2,1,3,1,0,1,"65,90'3","34",8,2,1,0,1,0,1,0,1,0,12,6,5,4,7,2,9,12,56,44,1.72,1.18,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.48,3.21,3.10,1.37,2.15,3.95,0.00,1.91,1.91,Bremer Brücke
1532779200,Jul 28 2018 - 12:00pm,complete,41324,Kaiserslautern,1860 München,N/A,1,0.00,0.00,1.47,0.89,1,0,1,0,0,0,"86","",6,2,0,0,2,0,0,0,0,2,13,5,6,2,7,3,14,11,58,42,1.87,0.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.04,3.36,4.02,1.32,2.00,3.55,0.00,1.87,1.91,Fritz-Walter-Stadion
1532779200,Jul 28 2018 - 12:00pm,complete,4113,Carl Zeiss Jena,Sonnenhof Großaspach,N/A,1,0.00,0.00,1.26,0.89,3,2,5,2,1,1,"6,82,90'6","35,79",7,5,2,0,2,1,0,2,1,2,12,10,9,5,3,5,19,11,59,41,1.64,1.18,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.17,3.31,3.65,1.28,1.91,3.25,0.00,1.83,2.00,Ernst-Abbe-Sportfeld
1532779200,Jul 28 2018 - 12:00pm,complete,3201,Fortuna Köln,Preußen Münster,N/A,1,0.00,0.00,0.95,1.16,1,4,5,2,0,2,"53","9,43,47,84",5,6,3,0,2,0,1,2,0,2,5,10,3,7,2,3,15,13,59,41,1.09,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.46,3.28,3.07,1.32,2.00,3.55,0.00,1.87,1.95,Südstadion (Köln)
1532779200,Jul 28 2018 - 12:00pm,complete,7125,Zwickau,Hallescher FC,N/A,1,0.00,0.00,1.84,1.84,2,0,2,2,2,0,"28,39","",1,4,2,0,4,0,1,1,3,1,9,10,6,6,3,4,24,18,43,57,1.14,1.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.17,3.28,3.69,1.37,2.15,3.95,0.00,1.95,1.87,Sportforum Sojus 31 (Zwickau)
1532862000,Jul 29 2018 - 11:00am,complete,15035,Energie Cottbus,Hansa Rostock,N/A,1,0.00,0.00,1.21,1.42,3,0,3,2,2,0,"2,20,86","",4,6,2,0,1,0,2,0,0,1,7,7,5,5,2,2,11,10,46,54,1.20,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.24,3.22,3.59,1.42,2.25,4.30,0.00,2.05,1.80,Stadion der Freundschaft
1532865600,Jul 29 2018 - 12:00pm,complete,5148,Uerdingen,Unterhaching,N/A,1,0.00,0.00,1.00,1.16,1,3,4,1,0,1,"51","24,47,56",4,2,2,0,3,0,0,2,2,1,15,12,11,11,4,1,22,16,60,40,2.15,1.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.27,3.35,3.37,1.30,1.95,3.40,0.00,1.91,1.87,Schauinsland-Reisen-Arena
1532970000,Jul 30 2018 - 5:00pm,complete,6098,Sportfreunde Lotte,Meppen,N/A,1,0.00,0.00,0.95,0.89,0,0,0,0,0,0,"","",7,4,0,0,0,0,0,0,0,0,17,10,11,2,6,8,19,17,37,63,2.06,1.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.33,3.35,3.24,1.32,2.00,3.55,0.00,1.87,1.95,FRIMO Stadion
1533315600,Aug 03 2018 - 5:00pm,complete,17400,Hansa Rostock,Eintracht Braunschweig,N/A,2,0.00,0.00,1.47,1.26,2,0,2,2,2,0,"14,20","",5,6,3,0,0,0,1,2,0,0,14,11,6,4,8,7,14,7,43,57,1.71,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.73,3.20,2.73,1.41,2.25,4.25,0.00,2.05,1.80,Ostseestadion
1533384000,Aug 04 2018 - 12:00pm,complete,6227,Hallescher FC,Fortuna Köln,N/A,2,0.00,0.00,1.63,1.11,1,2,3,1,0,1,"90","36,70",8,2,1,0,2,0,0,1,1,1,13,6,4,3,9,3,21,11,67,33,1.73,0.89,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.06,3.41,3.76,1.32,2.00,3.55,0.00,1.95,1.87,ERDGAS Sportpark
1533384000,Aug 04 2018 - 12:00pm,complete,7234,Preußen Münster,Carl Zeiss Jena,N/A,2,0.00,0.00,1.58,1.16,1,2,3,2,0,2,"48","25,38",4,4,0,0,4,0,0,0,2,2,13,14,5,6,8,8,12,20,54,46,1.52,1.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.49,4.66,1.24,1.77,2.90,0.00,1.77,2.05,Preußen-Stadion
1533384000,Aug 04 2018 - 12:00pm,complete,9500,Sonnenhof Großaspach,Kaiserslautern,N/A,2,0.00,0.00,1.47,1.21,1,1,2,2,1,1,"24","39",0,4,0,0,3,0,0,0,1,2,7,11,2,4,5,7,8,16,44,56,1.09,1.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.89,3.35,2.05,1.28,1.87,3.20,0.00,1.87,1.95,mechatronik Arena
1533384000,Aug 04 2018 - 12:00pm,complete,15000,1860 München,Sportfreunde Lotte,N/A,2,0.00,0.00,1.58,1.16,5,1,6,2,2,0,"13,22,51,65,89","81",6,4,0,0,1,0,0,0,0,1,12,13,8,5,4,8,11,19,64,36,1.81,1.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.59,3.80,5.60,1.29,1.91,3.30,0.00,2.00,1.80,Städtisches Stadion an der Grünwalder Straße
1533384000,Aug 04 2018 - 12:00pm,complete,4835,Würzburger Kickers,Uerdingen,N/A,2,0.00,0.00,1.63,1.53,0,2,2,0,0,0,"","48,77",9,4,2,0,5,0,1,1,3,2,12,12,5,5,7,7,14,14,48,52,1.54,1.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.27,3.28,3.35,1.30,1.95,3.40,0.00,1.83,2.00,flyeralarm-Arena
1533384000,Aug 04 2018 - 12:00pm,complete,2800,Unterhaching,Aalen,N/A,2,0.00,0.00,1.37,0.84,0,0,0,0,0,0,"","",6,6,5,1,2,0,3,3,0,2,12,9,6,4,6,5,10,17,53,47,1.69,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.92,3.51,4.23,1.27,1.87,3.20,0.00,1.87,1.91,Alpenbauer Sportpark
1533384000,Aug 04 2018 - 12:00pm,complete,10736,Karlsruher SC,Zwickau,N/A,2,0.00,0.00,1.79,0.89,1,1,2,0,0,0,"90'1","57",5,6,0,0,2,0,0,0,1,1,14,14,3,7,11,7,12,17,56,44,1.31,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.81,3.45,4.93,1.34,2.05,3.75,0.00,2.05,1.77,Wildparkstadion
1533466800,Aug 05 2018 - 11:00am,complete,2802,Wehen Wiesbaden,Energie Cottbus,N/A,2,0.00,0.00,1.84,1.16,0,2,2,1,0,1,"","35,90'2",4,1,1,0,4,0,0,1,2,2,16,8,8,3,8,5,18,18,49,51,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.64,4.52,1.29,1.91,3.30,0.00,1.87,1.95,BRITA-Arena
1533470400,Aug 05 2018 - 12:00pm,complete,12500,Meppen,Osnabrück,N/A,2,0.00,0.00,1.58,1.74,0,2,2,0,0,0,"","62,90'2",9,4,4,0,1,0,0,4,0,1,8,12,3,4,5,8,22,18,55,45,1.10,1.40,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.31,3.28,3.26,1.26,1.83,3.15,0.00,1.74,2.10,Hänsch-Arena
1533661200,Aug 07 2018 - 5:00pm,complete,N/A,Eintracht Braunschweig,Zwickau,N/A,3,1.00,1.00,1.11,0.89,1,1,2,1,0,1,"69","33",11,0,2,0,2,0,1,1,0,2,12,5,5,3,7,2,12,9,66,34,1.80,0.95,2.00,100,100,0,0,0,0,50,50,100,11.00,3.00,1.76,3.73,4.79,1.33,2.00,3.65,0.00,1.91,1.91,Eintracht-Stadion
1533661200,Aug 07 2018 - 5:00pm,complete,3873,Aalen,Würzburger Kickers,N/A,3,0.00,0.00,0.79,1.37,3,2,5,4,3,1,"3,8,37","31,82",5,9,1,0,4,0,0,1,3,1,12,14,7,8,5,6,-1,-1,54,46,1.60,1.88,3.00,100,100,100,0,0,0,50,100,100,4.00,5.00,2.59,3.25,2.86,1.40,2.25,4.20,0.00,2.00,1.80,Scholz Arena
